nop;0x00;4;1
lxi_b_d16;0x01;10;3
stax_b;0x02;7;1
inx_b;0x03;5;1
inr_b;0x04;5;1
dcr_b;0x05;5;1
mvi_b_d8;0x06;7;2
rlc;0x07;4;1
nop_0x08;0x08;4;
dad_b;0x09;10;1
ldax_b;0x0a;7;1
dcx_b;0x0b;5;1
inr_c;0x0c;5;1
dcr_c;0x0d;5;1
mvi_c_d8;0x0e;7;2
rrc;0x0f;4;1
nop_0x10;0x10;4;
lxi_d_d16;0x11;10;3
stax_d;0x12;7;1
inx_d;0x13;5;1
inr_d;0x14;5;1
dcr_d;0x15;5;1
mvi_d_d8;0x16;7;2
ral;0x17;4;1
nop_0x18;0x18;4;
dad_d;0x19;10;1
ldax_d;0x1a;7;1
dcx_d;0x1b;5;1
inr_e;0x1c;5;1
dcr_e;0x1d;5;1
mvi_e_d8;0x1e;7;2
rar;0x1f;4;1
rim;0x20;4;1
lxi_h_d16;0x21;10;3
shld_adr;0x22;16;3
inx_h;0x23;5;1
inr_h;0x24;5;1
dcr_h;0x25;5;1
mvi_h_d8;0x26;7;2
daa;0x27;4;1
nop_0x28;0x28;4;
dad_h;0x29;10;1
lhld_adr;0x2a;16;3
dcx_h;0x2b;5;1
inr_l;0x2c;5;1
dcr_l;0x2d;5;1
mvi_l_d8;0x2e;7;2
cma;0x2f;4;1
sim;0x30;4;1
lxi_sp_d16;0x31;10;3
sta_adr;0x32;13;3
inx_sp;0x33;5;1
inr_m;0x34;10;1
dcr_m;0x35;10;1
mvi_m_d8;0x36;10;2
stc;0x37;4;1
nop_0x38;0x38;4;
dad_sp;0x39;10;1
lda_adr;0x3a;13;3
dcx_sp;0x3b;5;1
inr_a;0x3c;5;1
dcr_a;0x3d;5;1
mvi_a_d8;0x3e;7;2
cmc;0x3f;4;1
mov_b_b;0x40;5;1
mov_b_c;0x41;5;1
mov_b_d;0x42;5;1
mov_b_e;0x43;5;1
mov_b_h;0x44;5;1
mov_b_l;0x45;5;1
mov_b_m;0x46;7;1
mov_b_a;0x47;5;1
mov_c_b;0x48;5;1
mov_c_c;0x49;5;1
mov_c_d;0x4a;5;1
mov_c_e;0x4b;5;1
mov_c_h;0x4c;5;1
mov_c_l;0x4d;5;1
mov_c_m;0x4e;7;1
mov_c_a;0x4f;5;1
mov_d_b;0x50;5;1
mov_d_c;0x51;5;1
mov_d_d;0x52;5;1
mov_d_e;0x53;5;1
mov_d_h;0x54;5;1
mov_d_l;0x55;5;1
mov_d_m;0x56;7;1
mov_d_a;0x57;5;1
mov_e_b;0x58;5;1
mov_e_c;0x59;5;1
mov_e_d;0x5a;5;1
mov_e_e;0x5b;5;1
mov_e_h;0x5c;5;1
mov_e_l;0x5d;5;1
mov_e_m;0x5e;7;1
mov_e_a;0x5f;5;1
mov_h_b;0x60;5;1
mov_h_c;0x61;5;1
mov_h_d;0x62;5;1
mov_h_e;0x63;5;1
mov_h_h;0x64;5;1
mov_h_l;0x65;5;1
mov_h_m;0x66;7;1
mov_h_a;0x67;5;1
mov_l_b;0x68;5;1
mov_l_c;0x69;5;1
mov_l_d;0x6a;5;1
mov_l_e;0x6b;5;1
mov_l_h;0x6c;5;1
mov_l_l;0x6d;5;1
mov_l_m;0x6e;7;1
mov_l_a;0x6f;5;1
mov_m_b;0x70;7;1
mov_m_c;0x71;7;1
mov_m_d;0x72;7;1
mov_m_e;0x73;7;1
mov_m_h;0x74;7;1
mov_m_l;0x75;7;1
hlt;0x76;7;1
mov_m_a;0x77;7;1
mov_a_b;0x78;5;1
mov_a_c;0x79;5;1
mov_a_d;0x7a;5;1
mov_a_e;0x7b;5;1
mov_a_h;0x7c;5;1
mov_a_l;0x7d;5;1
mov_a_m;0x7e;7;1
mov_a_a;0x7f;5;1
add_b;0x80;4;1
